county_name,fips_code,registered_voters,total_ballots_cast,absentee_ballots,turnout_rate,absentee_rate,ballots_female,ballots_male,ballots_not_identified_gender,ballots_age_18_29,ballots_age_30_39,ballots_age_40_49,ballots_age_50_59,ballots_age_60_69,ballots_age_70_79,ballots_age_80_plus,ballots_black,ballots_white,ballots_latinx,turnout_rate_black,turnout_rate_white,turnout_rate_latinx
Barbour,1005,17666,9919,593,0.5615,0.0598,5646,4236,19,970,949,1206,1670,2231,1989,886,3773,5979,50,0.4639,0.6604,0.2924
Bullock,1011,7181,4144,406,0.5771,0.098,2456,1639,10,437,496,539,646,913,743,331,2966,1099,18,0.5447,0.6839,0.2571
Butler,1013,14530,8530,464,0.5871,0.0544,4682,3430,0,801,906,1161,1394,1722,1459,669,2998,5019,18,0.4614,0.6415,0.3913
Choctaw,1023,10767,6692,452,0.6215,0.0675,3727,2914,4,751,679,789,1170,1453,1202,601,2435,4180,8,0.5174,0.6992,0.4
Crenshaw,1041,10851,6516,314,0.6005,0.0482,3618,2873,2,728,839,888,1151,1364,1050,473,1272,5139,17,0.478,0.6432,0.3091
Dallas,1047,29534,15631,1038,0.5293,0.0664,9389,6320,11,1567,1785,2136,2575,3697,2775,1185,10418,5191,13,0.4975,0.635,0.197
Greene,1063,6572,4056,372,0.6172,0.0917,2353,1690,2,378,407,536,672,928,814,310,3175,835,12,0.5969,0.7125,0.5714
Hale,1065,12162,7298,386,0.6001,0.0529,4196,3132,11,787,919,1069,1200,1697,1175,492,3803,3465,17,0.544,0.6927,0.4857
Lowndes,1085,9668,5708,538,0.5904,0.0943,3275,2427,3,535,637,773,988,1351,985,436,3916,1751,12,0.5496,0.7147,0.4444
Macon,1087,16972,7876,535,0.4641,0.0679,4750,3122,32,923,865,888,1294,1740,1525,669,6097,1693,26,0.4362,0.6479,0.321
Marengo,1091,15710,9719,678,0.6187,0.0698,5579,4124,5,1004,1136,1331,1738,2063,1690,746,4482,5148,43,0.539,0.7159,0.5375
Montgomery,1101,163649,90268,6818,0.5516,0.0755,54562,35466,70,10893,11907,13861,15496,17734,13980,6227,51925,35316,715,0.5172,0.6332,0.3863
Perry,1105,7631,4477,627,0.5867,0.14,2632,1862,2,480,462,579,813,995,773,394,3181,1301,4,0.5734,0.6476,0.25
Pike,1109,24517,13292,485,0.5422,0.0365,7534,5720,8,1996,1735,1867,2278,2432,1963,991,4211,8800,59,0.4439,0.613,0.3278
Russell,1113,46542,20794,1732,0.4468,0.0833,12013,8812,15,2239,2752,3157,3828,4483,3098,1283,9217,10869,329,0.4282,0.4824,0.2964
Sumter,1119,9632,5330,506,0.5534,0.0949,3197,2138,0,458,593,634,924,1258,1040,428,3755,1547,4,0.5158,0.6833,0.3077
Wilcox,1131,8557,5287,693,0.6179,0.1311,3028,2240,0,597,561,701,929,1128,958,394,3477,1773,4,0.5693,0.7406,0.4444
